Series Name,Country Name,Time,Value,
Agricultural land (sq. km),China,1960,NA,
Agricultural land (sq. km),China,1961,3423500,
Agricultural land (sq. km),China,1962,3451000,
Agricultural land (sq. km),China,1963,3479500,
Agricultural land (sq. km),China,1964,3508000,
Agricultural land (sq. km),China,1965,3546000,
Agricultural land (sq. km),China,1966,3582000,
Agricultural land (sq. km),China,1967,3618000,
Agricultural land (sq. km),China,1968,3654000,
Agricultural land (sq. km),China,1969,3700000,
Agricultural land (sq. km),China,1970,3746000,
Agricultural land (sq. km),China,1971,3792500,
Agricultural land (sq. km),China,1972,3838700,
Agricultural land (sq. km),China,1973,3894800,
Agricultural land (sq. km),China,1974,3961000,
Agricultural land (sq. km),China,1975,4007100,
Agricultural land (sq. km),China,1976,4066600,
Agricultural land (sq. km),China,1977,4126000,
Agricultural land (sq. km),China,1978,4184700,
Agricultural land (sq. km),China,1979,4231900,
Agricultural land (sq. km),China,1980,4276040,
Agricultural land (sq. km),China,1981,4329090,
Agricultural land (sq. km),China,1982,4425180,
Agricultural land (sq. km),China,1983,4529280,
Agricultural land (sq. km),China,1984,4645370,
Agricultural land (sq. km),China,1985,4763470,
Agricultural land (sq. km),China,1986,4824560,
Agricultural land (sq. km),China,1987,4877660,
Agricultural land (sq. km),China,1988,4933750,
Agricultural land (sq. km),China,1989,4994850,
Agricultural land (sq. km),China,1990,5056940,
Agricultural land (sq. km),China,1991,5113790,
Agricultural land (sq. km),China,1992,5143140,
Agricultural land (sq. km),China,1993,5182230,
Agricultural land (sq. km),China,1994,5228330,
Agricultural land (sq. km),China,1995,5228330,
Agricultural land (sq. km),China,1996,5228720,
Agricultural land (sq. km),China,1997,5233330,
Agricultural land (sq. km),China,1998,5236830,
Agricultural land (sq. km),China,1999,5231330,
Agricultural land (sq. km),China,2000,5220030,
Agricultural land (sq. km),China,2001,5199150,
Agricultural land (sq. km),China,2002,5185330,
Agricultural land (sq. km),China,2003,5161330,
Agricultural land (sq. km),China,2004,5164330,
Agricultural land (sq. km),China,2005,5174330,
Agricultural land (sq. km),China,2006,5141330,
Agricultural land (sq. km),China,2007,5145680,
Agricultural land (sq. km),China,2008,5145490,
Agricultural land (sq. km),China,2009,5145530,
Agricultural land (sq. km),China,2010,5145500,
Agricultural land (sq. km),China,2011,5145530,
Agricultural land (sq. km),China,2012,5145530,
Agricultural land (sq. km),China,2013,5145530,
Agricultural land (sq. km),China,2014,5145530,
Agricultural land (sq. km),China,2015,5278330,
Agricultural land (sq. km),China,2016,5277330,
Agricultural land (sq. km),China,2017,NA,
Agricultural land (sq. km),China,2018,NA,
Agricultural land (sq. km),China,2019,NA,
Agricultural land (sq. km),China,2020,NA,
